,Quantity,Tax,Size,Paper Type,Lamination,Sides Printed,Turnaround,PriceStandard,Production Days Standard,Standard Sku
698,25,0.0,1/3 A4 (DL),350gsm Recycled Uncoated,None,Single Sided,,19.85,3,FLY-645-614-556-656-STANDARD
664,25,0.0,A6,300gsm Art Board Coated,None,Double Sided,,16.15,3,FLY-616-510-520-657-STANDARD
625,25,0.0,Square 210mm x 210mm,350gsm Recycled Uncoated,None,Double Sided,,24.7,3,FLY-652-540-557-656-STANDARD
552,25,0.0,Square 210mm x 210mm,300gsm Art Board Coated,None,Double Sided,,17.1,3,FLY-555-609-514-509-STANDARD
496,25,0.0,Square 148mm x 148mm,170gsm Art Paper Gloss Finish,None,Single Sided,,14.44,3,FLY-610-608-616-563-STANDARD
1156,25,0.0,Square 148mm x 148mm,130gsm Art Paper Silk Finish,None,Double Sided,,15.2,3,FLY-405-508-523-603-STANDARD
1190,25,0.0,Square 148mm x 148mm,350gsm Art Board Silk Finish,None,Double Sided,,16.15,3,FLY-608-511-549-465-STANDARD
1224,25,0.0,A6,130gsm Art Paper Gloss Finish,None,Double Sided,,14.25,3,FLY-500-562-558-563-STANDARD
1259,25,0.2,A3,300gsm Art Board Coated,None,Single Sided,,20.76,3,FLY-699-516-565-577-STANDARD
1828,25,0.0,A5,350gsm Art Board Silk Finish,None,Single Sided,,15.34,3,FLY-567-509-615-698-STANDARD
1794,25,0.0,Square 210mm x 210mm,170gsm Art Paper Silk Finish,None,Double Sided,,16.15,3,FLY-506-603-615-609-STANDARD
1760,25,0.0,Square 148mm x 148mm,170gsm Art Paper Silk Finish,None,Double Sided,,15.2,3,FLY-521-560-563-701-STANDARD
1750,25,0.0,Square 148mm x 148mm,350gsm Recycled Uncoated,None,Double Sided,,22.8,3,FLY-562-514-461-463-STANDARD
1716,25,0.0,A5,170gsm Art Paper Silk Finish,None,Single Sided,,14.44,3,FLY-572-515-518-622-STANDARD
1706,25,0.0,A6,350gsm Recycled Uncoated,None,Single Sided,,18.05,3,FLY-508-566-562-601-STANDARD
1655,25,0.2,A3,170gsm Art Paper Gloss Finish,None,Double Sided,,19.0,3,FLY-419-553-522-705-STANDARD
3684,25,0.2,A3,100gsm Premium Smooth White Paper,None,Double Sided,,21.28,4,FLY-653-525-608-523-STANDARD
1594,25,0.2,Square 148mm x 148mm,100gsm Premium Smooth White Paper,None,Double Sided,,15.96,4,FLY-512-552-606-524-STANDARD
1505,25,0.2,A4,120gsm Premium Smooth White Paper,None,Double Sided,,21.85,4,FLY-535-606-521-515-STANDARD
1463,25,0.0,Square 210mm x 210mm,130gsm Art Paper Silk Finish,None,Double Sided,,15.68,3,FLY-609-508-560-505-STANDARD
1428,25,0.2,A3,130gsm Art Paper Gloss Finish,None,Double Sided,,17.1,3,FLY-659-662-515-599-STANDARD
1394,25,0.0,Square 105mm x 105mm,170gsm Art Paper Gloss Finish,None,Double Sided,,15.2,3,FLY-479-705-617-562-STANDARD
1353,25,0.0,A3,350gsm Art Board Silk Finish,None,Double Sided,,21.85,3,FLY-600-652-559-418-STANDARD
1318,25,0.0,A5,130gsm Art Paper Gloss Finish,None,Double Sided,,15.2,3,FLY-606-700-564-563-STANDARD
1283,25,0.0,A4,130gsm Art Paper Gloss Finish,None,Double Sided,,15.68,3,FLY-527-519-549-523-STANDARD
1547,25,0.0,A4,300gsm Art Board Coated,None,Double Sided,,17.1,3,FLY-515-606-707-604-STANDARD
404,25,0.0,1/3 A4 (DL),170gsm Art Paper Silk Finish,None,Double Sided,,16.15,3,FLY-558-606-515-560-STANDARD
3735,25,0.2,A5,120gsm Premium Smooth White Paper,None,Single Sided,,18.95,4,FLY-559-465-507-463-STANDARD
3847,25,0.0,A5,300gsm Art Board Coated,None,Single Sided,,15.34,3,FLY-466-701-515-519-STANDARD
6182,25,0.0,A7,130gsm Art Paper Gloss Finish,None,Double Sided,,13.78,3,FLY-661-510-586-608-STANDARD
6148,25,0.0,A5,130gsm Art Paper Silk Finish,None,Single Sided,,14.44,3,FLY-476-519-554-612-STANDARD
6114,25,0.0,A6,170gsm Art Paper Silk Finish,None,Double Sided,,15.2,3,FLY-510-649-513-464-STANDARD
6052,25,0.0,1/3 A4 (DL),170gsm Art Paper Silk Finish,None,Single Sided,,15.34,3,FLY-645-577-696-648-STANDARD
5982,25,0.2,A3,170gsm Art Paper Silk Finish,None,Double Sided,,19.0,3,FLY-459-460-602-517-STANDARD
5931,25,0.0,A5,130gsm Art Paper Gloss Finish,None,Single Sided,,14.44,3,FLY-515-610-523-493-STANDARD
5889,25,0.2,Square 148mm x 148mm,120gsm Premium Smooth White Paper,None,Double Sided,,19.95,4,FLY-567-666-644-514-STANDARD
5855,25,0.0,1/3 A4 (DL),350gsm Art Board Silk Finish,None,Double Sided,,17.1,3,FLY-565-515-598-512-STANDARD
5821,25,0.2,Square 210mm x 210mm,100gsm Premium Smooth White Paper,None,Single Sided,,16.61,4,FLY-506-518-610-467-STANDARD
5787,25,0.0,A6,130gsm Art Paper Silk Finish,None,Single Sided,,13.54,3,FLY-649-529-558-466-STANDARD
5753,25,0.2,A4,100gsm Premium Smooth White Paper,None,Double Sided,,17.48,4,FLY-561-511-476-552-STANDARD
5701,25,0.0,A4,350gsm Recycled Uncoated,None,Single Sided,,23.46,3,FLY-569-562-466-614-STANDARD
5667,25,0.2,A3,120gsm Premium Smooth White Paper,None,Single Sided,,25.27,4,FLY-689-461-464-565-STANDARD
5633,25,0.0,A7,170gsm Art Paper Silk Finish,None,Single Sided,,13.54,3,FLY-553-613-506-657-STANDARD
5599,25,0.2,1/3 A4 (DL),120gsm Premium Smooth White Paper,None,Single Sided,,17.15,4,FLY-554-615-567-604-STANDARD
6261,25,0.2,A3,300gsm Art Board Coated,None,Double Sided,,21.85,3,FLY-612-568-659-556-STANDARD
5562,25,0.0,Square 148mm x 148mm,350gsm Recycled Uncoated,None,Single Sided,,21.66,3,FLY-608-603-467-564-STANDARD
6285,25,0.0,A5,170gsm Art Paper Silk Finish,None,Double Sided,,15.2,3,FLY-564-574-602-511-STANDARD
6374,25,0.0,A4,170gsm Art Paper Gloss Finish,None,Double Sided,,16.15,3,FLY-507-621-528-659-STANDARD
7091,25,0.0,1/3 A4 (DL),350gsm Recycled Uncoated,None,Double Sided,,20.9,3,FLY-620-571-561-469-STANDARD
7081,25,0.0,Square 105mm x 105mm,350gsm Recycled Uncoated,None,Double Sided,,19.0,3,FLY-610-557-699-506-STANDARD
7047,25,0.0,A6,350gsm Art Board Silk Finish,None,Double Sided,,15.2,3,FLY-562-706-529-476-STANDARD
7013,25,0.2,Square 105mm x 105mm,120gsm Premium Smooth White Paper,None,Single Sided,,17.15,4,FLY-663-694-473-564-STANDARD
6961,25,0.0,A3,350gsm Recycled Uncoated,None,Double Sided,,37.0,3,FLY-513-549-508-562-STANDARD
6926,25,0.2,A3,130gsm Art Paper Gloss Finish,None,Single Sided,,16.24,3,FLY-702-614-473-603-STANDARD
6857,25,0.0,Square 105mm x 105mm,300gsm Art Board Coated,None,Double Sided,,16.15,3,FLY-519-505-603-518-STANDARD
6815,25,0.0,Square 148mm x 148mm,350gsm Art Board Silk Finish,None,Single Sided,,15.34,3,FLY-610-562-605-516-STANDARD
6751,25,0.0,1/3 A4 (DL),170gsm Art Paper Gloss Finish,None,Double Sided,,16.15,3,FLY-604-645-568-602-STANDARD
6717,25,0.2,A6,120gsm Premium Smooth White Paper,None,Double Sided,,18.05,4,FLY-556-604-569-542-STANDARD
6683,25,0.0,A4,300gsm Art Board Coated,None,Single Sided,,16.24,3,FLY-550-608-599-516-STANDARD
6592,25,0.0,Square 148mm x 148mm,130gsm Art Paper Gloss Finish,None,Double Sided,,15.2,3,FLY-513-607-622-594-STANDARD
6531,25,0.0,A7,170gsm Art Paper Gloss Finish,None,Single Sided,,13.54,3,FLY-619-694-464-473-STANDARD
6481,25,0.0,A6,130gsm Art Paper Gloss Finish,None,Single Sided,,13.54,3,FLY-561-661-558-561-STANDARD
6408,25,0.2,Square 148mm x 148mm,100gsm Premium Smooth White Paper,None,Single Sided,,15.16,4,FLY-520-556-554-566-STANDARD
6319,25,0.2,1/3 A4 (DL),100gsm Premium Smooth White Paper,None,Single Sided,,13.72,4,FLY-569-513-607-564-STANDARD
5528,25,0.0,Square 210mm x 210mm,350gsm Art Board Silk Finish,None,Double Sided,,18.05,3,FLY-559-497-514-462-STANDARD
5398,25,0.2,A6,100gsm Premium Smooth White Paper,None,Single Sided,,13.72,4,FLY-512-546-656-611-STANDARD
5364,25,0.0,A7,130gsm Art Paper Silk Finish,None,Single Sided,,13.09,3,FLY-659-703-572-557-STANDARD
4536,25,0.0,Square 148mm x 148mm,170gsm Art Paper Silk Finish,None,Single Sided,,14.44,3,FLY-528-569-603-472-STANDARD
4436,25,0.2,A7,100gsm Premium Smooth White Paper,None,Double Sided,,13.68,4,FLY-519-612-554-521-STANDARD
4402,25,0.2,Square 210mm x 210mm,100gsm Premium Smooth White Paper,None,Double Sided,,17.48,4,FLY-464-616-515-520-STANDARD
4393,25,0.0,Square 210mm x 210mm,350gsm Recycled Uncoated,None,Single Sided,,23.46,3,FLY-468-460-461-614-STANDARD
4320,25,0.0,1/3 A4 (DL),130gsm Art Paper Silk Finish,None,Single Sided,,14.44,3,FLY-453-522-524-458-STANDARD
4286,25,0.0,Square 148mm x 148mm,300gsm Art Board Coated,None,Double Sided,,16.15,3,FLY-615-560-513-413-STANDARD
4237,25,0.0,A5,300gsm Art Board Coated,None,Double Sided,,16.15,3,FLY-565-564-512-569-STANDARD
4203,25,0.0,Square 105mm x 105mm,130gsm Art Paper Silk Finish,None,Single Sided,,13.54,3,FLY-563-655-515-563-STANDARD
4169,25,0.0,Square 210mm x 210mm,350gsm Art Board Silk Finish,None,Single Sided,,17.15,3,FLY-463-599-525-650-STANDARD
4086,25,0.0,Square 210mm x 210mm,170gsm Art Paper Gloss Finish,None,Single Sided,,15.34,3,FLY-506-554-607-507-STANDARD
4052,25,0.0,A6,170gsm Art Paper Silk Finish,None,Single Sided,,14.44,3,FLY-515-565-509-421-STANDARD
4018,25,0.2,Square 210mm x 210mm,120gsm Premium Smooth White Paper,None,Single Sided,,20.76,4,FLY-601-607-609-608-STANDARD
3984,25,0.2,A3,130gsm Art Paper Silk Finish,None,Single Sided,,16.24,3,FLY-458-559-606-423-STANDARD
3950,25,0.2,A7,350gsm Art Board Silk Finish,None,Single Sided,,13.54,3,FLY-473-615-513-661-STANDARD
3881,25,0.0,Square 105mm x 105mm,170gsm Art Paper Gloss Finish,None,Single Sided,,14.44,3,FLY-513-562-602-563-STANDARD
4570,25,0.0,A6,350gsm Art Board Silk Finish,None,Single Sided,,14.44,3,FLY-605-600-601-606-STANDARD
4621,25,0.0,1/3 A4 (DL),130gsm Art Paper Gloss Finish,None,Double Sided,,15.2,3,FLY-693-514-565-564-STANDARD
4695,25,0.0,A5,350gsm Recycled Uncoated,None,Double Sided,,22.8,3,FLY-558-611-509-468-STANDARD
4705,25,0.0,A7,130gsm Art Paper Gloss Finish,None,Single Sided,,13.09,3,FLY-662-658-660-553-STANDARD
5322,25,0.0,Square 148mm x 148mm,170gsm Art Paper Gloss Finish,None,Double Sided,,15.2,3,FLY-505-666-521-419-STANDARD
5288,25,0.2,A3,170gsm Art Paper Silk Finish,None,Single Sided,,18.05,3,FLY-464-561-425-544-STANDARD
5278,25,0.0,A6,350gsm Recycled Uncoated,None,Double Sided,,19.0,3,FLY-563-657-517-649-STANDARD
5236,25,0.2,A5,100gsm Premium Smooth White Paper,None,Single Sided,,15.16,4,FLY-498-661-556-469-STANDARD
5202,25,0.0,Square 210mm x 210mm,170gsm Art Paper Silk Finish,None,Single Sided,,15.34,3,FLY-470-519-612-518-STANDARD
5168,25,0.0,Square 105mm x 105mm,130gsm Art Paper Silk Finish,None,Double Sided,,14.25,3,FLY-551-516-514-652-STANDARD
5109,25,0.0,Square 105mm x 105mm,300gsm Art Board Coated,None,Single Sided,,15.34,3,FLY-698-715-508-600-STANDARD
3777,25,0.0,Square 148mm x 148mm,130gsm Art Paper Gloss Finish,None,Single Sided,,14.44,3,FLY-614-656-453-557-STANDARD
5075,25,0.0,A6,170gsm Art Paper Gloss Finish,None,Double Sided,,15.2,3,FLY-466-563-520-505-STANDARD
5006,25,0.0,1/3 A4 (DL),130gsm Art Paper Gloss Finish,None,Single Sided,,14.44,3,FLY-657-602-552-650-STANDARD
4996,25,0.0,A5,350gsm Recycled Uncoated,None,Single Sided,,21.66,3,FLY-565-606-600-651-STANDARD
4962,25,0.0,A4,170gsm Art Paper Silk Finish,None,Double Sided,,16.15,3,FLY-529-515-554-610-STANDARD
4928,25,0.0,Square 210mm x 210mm,300gsm Art Board Coated,None,Single Sided,,16.24,3,FLY-508-612-611-702-STANDARD
4894,25,0.0,A5,170gsm Art Paper Gloss Finish,None,Double Sided,,15.2,3,FLY-481-569-514-568-STANDARD
4801,25,0.0,A4,350gsm Art Board Silk Finish,None,Double Sided,,18.05,3,FLY-475-700-701-515-STANDARD
4767,25,0.2,A4,100gsm Premium Smooth White Paper,None,Single Sided,,16.61,4,FLY-520-565-521-515-STANDARD
5041,25,0.0,A4,130gsm Art Paper Silk Finish,None,Single Sided,,14.9,3,FLY-699-606-565-557-STANDARD
370,25,0.0,Square 105mm x 105mm,170gsm Art Paper Silk Finish,None,Single Sided,,14.44,3,FLY-647-603-648-602-STANDARD
3541,25,0.0,A5,170gsm Art Paper Gloss Finish,None,Single Sided,,14.44,3,FLY-515-526-479-512-STANDARD
309,25,0.0,Square 210mm x 210mm,130gsm Art Paper Gloss Finish,None,Double Sided,,15.68,3,FLY-518-560-458-516-STANDARD
241,25,0.0,A7,170gsm Art Paper Silk Finish,None,Double Sided,,14.25,3,FLY-463-599-607-559-STANDARD
34,25,0.0,A5,130gsm Art Paper Silk Finish,None,Double Sided,,15.2,3,FLY-548-601-610-618-STANDARD
144,25,0.0,A4,130gsm Art Paper Silk Finish,None,Double Sided,,15.68,3,FLY-611-505-479-573-STANDARD
275,25,0.0,Square 148mm x 148mm,300gsm Art Board Coated,None,Single Sided,,15.34,3,FLY-510-623-603-607-STANDARD
110,25,0.0,1/3 A4 (DL),300gsm Art Board Coated,None,Double Sided,,17.1,3,FLY-520-756-701-608-STANDARD
178,25,0.0,Square 210mm x 210mm,130gsm Art Paper Silk Finish,None,Single Sided,,14.9,3,FLY-548-462-573-566-STANDARD
68,25,0.2,Square 210mm x 210mm,120gsm Premium Smooth White Paper,None,Double Sided,,21.85,4,FLY-516-600-653-599-STANDARD
5007,50,0.0,1/3 A4 (DL),130gsm Art Paper Gloss Finish,None,Single Sided,,15.34,3,FLY-657-602-552-650-STANDARD
1548,50,0.0,A4,300gsm Art Board Coated,None,Double Sided,,18.05,3,FLY-515-606-707-604-STANDARD
2229,50,0.0,A7,130gsm Art Paper Silk Finish,None,Double Sided,,14.01,3,FLY-609-553-609-462-STANDARD
5237,50,0.2,A5,100gsm Premium Smooth White Paper,None,Single Sided,,15.88,4,FLY-498-661-556-469-STANDARD
5702,50,0.0,A4,350gsm Recycled Uncoated,None,Single Sided,,27.08,3,FLY-569-562-466-614-STANDARD
2432,50,0.2,A3,120gsm Premium Smooth White Paper,None,Double Sided,,31.35,4,FLY-462-603-607-656-STANDARD
3474,50,0.2,Square 210mm x 210mm,350gsm Art Board Silk Finish,Both Sides (Matt),Double Sided,,23.75,5,FLY-508-607-462-512-STANDARD
276,50,0.0,Square 148mm x 148mm,300gsm Art Board Coated,None,Single Sided,,16.24,3,FLY-510-623-603-607-STANDARD
6962,50,0.0,A3,350gsm Recycled Uncoated,None,Double Sided,,47.28,3,FLY-513-549-508-562-STANDARD
2926,50,0.0,Square 105mm x 105mm,130gsm Art Paper Gloss Finish,None,Double Sided,,15.2,3,FLY-427-575-563-517-STANDARD
3497,50,0.0,Square 105mm x 105mm,130gsm Art Paper Gloss Finish,None,Single Sided,,14.44,3,FLY-512-620-573-470-STANDARD
6409,50,0.2,Square 148mm x 148mm,100gsm Premium Smooth White Paper,None,Single Sided,,15.88,4,FLY-520-556-554-566-STANDARD
5506,50,0.2,A3,350gsm Art Board Silk Finish,Both Sides (Gloss),Double Sided,,33.25,5,FLY-472-703-500-618-STANDARD
642,50,0.2,1/3 A4 (DL),350gsm Art Board Silk Finish,Both Sides (Gloss),Double Sided,,19.0,5,FLY-514-518-652-564-STANDARD
1191,50,0.0,Square 148mm x 148mm,350gsm Art Board Silk Finish,None,Double Sided,,18.05,3,FLY-608-511-549-465-STANDARD
1506,50,0.2,A4,120gsm Premium Smooth White Paper,None,Double Sided,,23.75,4,FLY-535-606-521-515-STANDARD
5203,50,0.0,Square 210mm x 210mm,170gsm Art Paper Silk Finish,None,Single Sided,,17.15,3,FLY-470-519-612-518-STANDARD
2496,50,0.0,A6,170gsm Art Paper Gloss Finish,None,Single Sided,,14.9,3,FLY-474-708-604-652-STANDARD
3915,50,0.2,1/3 A4 (DL),350gsm Art Board Silk Finish,Both Sides (Matt),Double Sided,,19.0,5,FLY-616-665-564-598-STANDARD
4238,50,0.0,A5,300gsm Art Board Coated,None,Double Sided,,17.1,3,FLY-565-564-512-569-STANDARD
6816,50,0.0,Square 148mm x 148mm,350gsm Art Board Silk Finish,None,Single Sided,,17.15,3,FLY-610-562-605-516-STANDARD
3080,50,0.2,A7,120gsm Premium Smooth White Paper,None,Double Sided,,17.58,4,FLY-511-520-552-520-STANDARD
626,50,0.0,Square 210mm x 210mm,350gsm Recycled Uncoated,None,Double Sided,,28.5,3,FLY-652-540-557-656-STANDARD
4321,50,0.0,1/3 A4 (DL),130gsm Art Paper Silk Finish,None,Single Sided,,15.34,3,FLY-453-522-524-458-STANDARD
1656,50,0.2,A3,170gsm Art Paper Gloss Finish,None,Double Sided,,21.85,3,FLY-419-553-522-705-STANDARD
4696,50,0.0,A5,350gsm Recycled Uncoated,None,Double Sided,,24.7,3,FLY-558-611-509-468-STANDARD
804,50,0.0,A3,350gsm Art Board Silk Finish,None,Single Sided,,25.27,3,FLY-514-561-525-612-STANDARD
6320,50,0.2,1/3 A4 (DL),100gsm Premium Smooth White Paper,None,Single Sided,,14.44,4,FLY-569-513-607-564-STANDARD
6991,50,0.2,1/3 A4 (DL),350gsm Art Board Silk Finish,Both Sides (Gloss),Single Sided,,18.05,5,FLY-746-575-564-657-STANDARD
1157,50,0.0,Square 148mm x 148mm,130gsm Art Paper Silk Finish,None,Double Sided,,15.68,3,FLY-405-508-523-603-STANDARD
2965,50,0.2,Square 105mm x 105mm,100gsm Premium Smooth White Paper,None,Single Sided,,14.44,4,FLY-704-461-567-565-STANDARD
2529,50,0.2,Square 105mm x 105mm,350gsm Art Board Silk Finish,Both Sides (Matt),Double Sided,,18.05,5,FLY-644-466-557-549-STANDARD
879,50,0.0,A4,350gsm Art Board Silk Finish,None,Single Sided,,19.85,3,FLY-601-547-654-469-STANDARD
3429,50,0.2,A7,100gsm Premium Smooth White Paper,None,Single Sided,,13.36,4,FLY-665-709-560-606-STANDARD
4019,50,0.2,Square 210mm x 210mm,120gsm Premium Smooth White Paper,None,Single Sided,,22.56,4,FLY-601-607-609-608-STANDARD
6053,50,0.0,1/3 A4 (DL),170gsm Art Paper Silk Finish,None,Single Sided,,15.8,3,FLY-645-577-696-648-STANDARD
5432,50,0.2,A6,350gsm Art Board Silk Finish,Both Sides (Gloss),Single Sided,,17.15,5,FLY-515-555-525-572-STANDARD
6969,50,0.2,Square 105mm x 105mm,350gsm Art Board Silk Finish,Both Sides (Gloss),Double Sided,,18.05,5,FLY-568-506-602-564-STANDARD
5856,50,0.0,1/3 A4 (DL),350gsm Art Board Silk Finish,None,Double Sided,,18.05,3,FLY-565-515-598-512-STANDARD
4287,50,0.0,Square 148mm x 148mm,300gsm Art Board Coated,None,Double Sided,,17.1,3,FLY-615-560-513-413-STANDARD
1595,50,0.2,Square 148mm x 148mm,100gsm Premium Smooth White Paper,None,Double Sided,,16.72,4,FLY-512-552-606-524-STANDARD
2195,50,0.0,Square 148mm x 148mm,130gsm Art Paper Silk Finish,None,Single Sided,,14.9,3,FLY-561-556-555-699-STANDARD
4706,50,0.0,A7,130gsm Art Paper Gloss Finish,None,Single Sided,,13.31,3,FLY-662-658-660-553-STANDARD
35,50,0.0,A5,130gsm Art Paper Silk Finish,None,Double Sided,,15.68,3,FLY-548-601-610-618-STANDARD
6375,50,0.0,A4,170gsm Art Paper Gloss Finish,None,Double Sided,,18.05,3,FLY-507-621-528-659-STANDARD
69,50,0.2,Square 210mm x 210mm,120gsm Premium Smooth White Paper,None,Double Sided,,23.75,4,FLY-516-600-653-599-STANDARD
3778,50,0.0,Square 148mm x 148mm,130gsm Art Paper Gloss Finish,None,Single Sided,,14.9,3,FLY-614-656-453-557-STANDARD
5563,50,0.0,Square 148mm x 148mm,350gsm Recycled Uncoated,None,Single Sided,,23.46,3,FLY-608-603-467-564-STANDARD
665,50,0.0,A6,300gsm Art Board Coated,None,Double Sided,,17.1,3,FLY-616-510-520-657-STANDARD
3393,50,0.0,A4,350gsm Recycled Uncoated,None,Double Sided,,28.5,3,FLY-651-559-558-560-STANDARD
736,50,0.2,A5,100gsm Premium Smooth White Paper,None,Double Sided,,16.72,4,FLY-605-653-555-522-STANDARD
2892,50,0.2,A4,120gsm Premium Smooth White Paper,None,Single Sided,,22.56,4,FLY-606-563-558-465-STANDARD
