,Quantity,Tax,Size,Paper Type,Lamination,Sides Printed,Turnaround,PriceExpress,Production Days Express,Express Sku
1760,25,0.0,Square 148mm x 148mm,170gsm Art Paper Silk Finish,None,Double Sided,,16.72,1,FLY-521-560-563-701-EXPRESS
1750,25,0.0,Square 148mm x 148mm,350gsm Recycled Uncoated,None,Double Sided,,25.08,1,FLY-562-514-461-463-EXPRESS
1716,25,0.0,A5,170gsm Art Paper Silk Finish,None,Single Sided,,15.88,1,FLY-572-515-518-622-EXPRESS
1706,25,0.0,A6,350gsm Recycled Uncoated,None,Single Sided,,19.86,1,FLY-508-566-562-601-EXPRESS
1655,25,0.2,A3,170gsm Art Paper Gloss Finish,None,Double Sided,,20.9,1,FLY-419-553-522-705-EXPRESS
3684,25,0.2,A3,100gsm Premium Smooth White Paper,None,Double Sided,,23.41,2,FLY-653-525-608-523-EXPRESS
1594,25,0.2,Square 148mm x 148mm,100gsm Premium Smooth White Paper,None,Double Sided,,17.56,2,FLY-512-552-606-524-EXPRESS
1505,25,0.2,A4,120gsm Premium Smooth White Paper,None,Double Sided,,24.04,2,FLY-535-606-521-515-EXPRESS
1463,25,0.0,Square 210mm x 210mm,130gsm Art Paper Silk Finish,None,Double Sided,,17.25,1,FLY-609-508-560-505-EXPRESS
1428,25,0.2,A3,130gsm Art Paper Gloss Finish,None,Double Sided,,18.81,1,FLY-659-662-515-599-EXPRESS
1394,25,0.0,Square 105mm x 105mm,170gsm Art Paper Gloss Finish,None,Double Sided,,16.72,1,FLY-479-705-617-562-EXPRESS
1353,25,0.0,A3,350gsm Art Board Silk Finish,None,Double Sided,,24.04,1,FLY-600-652-559-418-EXPRESS
1318,25,0.0,A5,130gsm Art Paper Gloss Finish,None,Double Sided,,16.72,1,FLY-606-700-564-563-EXPRESS
1283,25,0.0,A4,130gsm Art Paper Gloss Finish,None,Double Sided,,17.25,1,FLY-527-519-549-523-EXPRESS
1547,25,0.0,A4,300gsm Art Board Coated,None,Double Sided,,18.81,1,FLY-515-606-707-604-EXPRESS
404,25,0.0,1/3 A4 (DL),170gsm Art Paper Silk Finish,None,Double Sided,,17.77,1,FLY-558-606-515-560-EXPRESS
3735,25,0.2,A5,120gsm Premium Smooth White Paper,None,Single Sided,,20.84,2,FLY-559-465-507-463-EXPRESS
3847,25,0.0,A5,300gsm Art Board Coated,None,Single Sided,,16.87,1,FLY-466-701-515-519-EXPRESS
6182,25,0.0,A7,130gsm Art Paper Gloss Finish,None,Double Sided,,15.16,1,FLY-661-510-586-608-EXPRESS
6148,25,0.0,A5,130gsm Art Paper Silk Finish,None,Single Sided,,15.88,1,FLY-476-519-554-612-EXPRESS
6114,25,0.0,A6,170gsm Art Paper Silk Finish,None,Double Sided,,16.72,1,FLY-510-649-513-464-EXPRESS
6052,25,0.0,1/3 A4 (DL),170gsm Art Paper Silk Finish,None,Single Sided,,16.87,1,FLY-645-577-696-648-EXPRESS
5982,25,0.2,A3,170gsm Art Paper Silk Finish,None,Double Sided,,20.9,1,FLY-459-460-602-517-EXPRESS
5931,25,0.0,A5,130gsm Art Paper Gloss Finish,None,Single Sided,,15.88,1,FLY-515-610-523-493-EXPRESS
5889,25,0.2,Square 148mm x 148mm,120gsm Premium Smooth White Paper,None,Double Sided,,21.94,2,FLY-567-666-644-514-EXPRESS
5855,25,0.0,1/3 A4 (DL),350gsm Art Board Silk Finish,None,Double Sided,,18.81,1,FLY-565-515-598-512-EXPRESS
5821,25,0.2,Square 210mm x 210mm,100gsm Premium Smooth White Paper,None,Single Sided,,18.27,2,FLY-506-518-610-467-EXPRESS
5787,25,0.0,A6,130gsm Art Paper Silk Finish,None,Single Sided,,14.89,1,FLY-649-529-558-466-EXPRESS
5753,25,0.2,A4,100gsm Premium Smooth White Paper,None,Double Sided,,19.23,2,FLY-561-511-476-552-EXPRESS
5701,25,0.0,A4,350gsm Recycled Uncoated,None,Single Sided,,25.81,1,FLY-569-562-466-614-EXPRESS
5667,25,0.2,A3,120gsm Premium Smooth White Paper,None,Single Sided,,27.8,2,FLY-689-461-464-565-EXPRESS
5633,25,0.0,A7,170gsm Art Paper Silk Finish,None,Single Sided,,14.89,1,FLY-553-613-506-657-EXPRESS
5599,25,0.2,1/3 A4 (DL),120gsm Premium Smooth White Paper,None,Single Sided,,18.86,2,FLY-554-615-567-604-EXPRESS
6261,25,0.2,A3,300gsm Art Board Coated,None,Double Sided,,24.04,1,FLY-612-568-659-556-EXPRESS
5562,25,0.0,Square 148mm x 148mm,350gsm Recycled Uncoated,None,Single Sided,,23.83,1,FLY-608-603-467-564-EXPRESS
6285,25,0.0,A5,170gsm Art Paper Silk Finish,None,Double Sided,,16.72,1,FLY-564-574-602-511-EXPRESS
6374,25,0.0,A4,170gsm Art Paper Gloss Finish,None,Double Sided,,17.77,1,FLY-507-621-528-659-EXPRESS
7091,25,0.0,1/3 A4 (DL),350gsm Recycled Uncoated,None,Double Sided,,22.99,1,FLY-620-571-561-469-EXPRESS
7081,25,0.0,Square 105mm x 105mm,350gsm Recycled Uncoated,None,Double Sided,,20.9,1,FLY-610-557-699-506-EXPRESS
7047,25,0.0,A6,350gsm Art Board Silk Finish,None,Double Sided,,16.72,1,FLY-562-706-529-476-EXPRESS
7013,25,0.2,Square 105mm x 105mm,120gsm Premium Smooth White Paper,None,Single Sided,,18.86,2,FLY-663-694-473-564-EXPRESS
6961,25,0.0,A3,350gsm Recycled Uncoated,None,Double Sided,,40.7,1,FLY-513-549-508-562-EXPRESS
6926,25,0.2,A3,130gsm Art Paper Gloss Finish,None,Single Sided,,17.86,1,FLY-702-614-473-603-EXPRESS
6857,25,0.0,Square 105mm x 105mm,300gsm Art Board Coated,None,Double Sided,,17.77,1,FLY-519-505-603-518-EXPRESS
6815,25,0.0,Square 148mm x 148mm,350gsm Art Board Silk Finish,None,Single Sided,,16.87,1,FLY-610-562-605-516-EXPRESS
6751,25,0.0,1/3 A4 (DL),170gsm Art Paper Gloss Finish,None,Double Sided,,17.77,1,FLY-604-645-568-602-EXPRESS
6717,25,0.2,A6,120gsm Premium Smooth White Paper,None,Double Sided,,19.86,2,FLY-556-604-569-542-EXPRESS
6683,25,0.0,A4,300gsm Art Board Coated,None,Single Sided,,17.86,1,FLY-550-608-599-516-EXPRESS
6592,25,0.0,Square 148mm x 148mm,130gsm Art Paper Gloss Finish,None,Double Sided,,16.72,1,FLY-513-607-622-594-EXPRESS
6531,25,0.0,A7,170gsm Art Paper Gloss Finish,None,Single Sided,,14.89,1,FLY-619-694-464-473-EXPRESS
6481,25,0.0,A6,130gsm Art Paper Gloss Finish,None,Single Sided,,14.89,1,FLY-561-661-558-561-EXPRESS
6408,25,0.2,Square 148mm x 148mm,100gsm Premium Smooth White Paper,None,Single Sided,,16.68,2,FLY-520-556-554-566-EXPRESS
6319,25,0.2,1/3 A4 (DL),100gsm Premium Smooth White Paper,None,Single Sided,,15.09,2,FLY-569-513-607-564-EXPRESS
5528,25,0.0,Square 210mm x 210mm,350gsm Art Board Silk Finish,None,Double Sided,,19.86,1,FLY-559-497-514-462-EXPRESS
5398,25,0.2,A6,100gsm Premium Smooth White Paper,None,Single Sided,,15.09,2,FLY-512-546-656-611-EXPRESS
5364,25,0.0,A7,130gsm Art Paper Silk Finish,None,Single Sided,,14.4,1,FLY-659-703-572-557-EXPRESS
4536,25,0.0,Square 148mm x 148mm,170gsm Art Paper Silk Finish,None,Single Sided,,15.88,1,FLY-528-569-603-472-EXPRESS
4436,25,0.2,A7,100gsm Premium Smooth White Paper,None,Double Sided,,15.05,2,FLY-519-612-554-521-EXPRESS
4402,25,0.2,Square 210mm x 210mm,100gsm Premium Smooth White Paper,None,Double Sided,,19.23,2,FLY-464-616-515-520-EXPRESS
4393,25,0.0,Square 210mm x 210mm,350gsm Recycled Uncoated,None,Single Sided,,25.81,1,FLY-468-460-461-614-EXPRESS
4320,25,0.0,1/3 A4 (DL),130gsm Art Paper Silk Finish,None,Single Sided,,15.88,1,FLY-453-522-524-458-EXPRESS
4286,25,0.0,Square 148mm x 148mm,300gsm Art Board Coated,None,Double Sided,,17.77,1,FLY-615-560-513-413-EXPRESS
4237,25,0.0,A5,300gsm Art Board Coated,None,Double Sided,,17.77,1,FLY-565-564-512-569-EXPRESS
4203,25,0.0,Square 105mm x 105mm,130gsm Art Paper Silk Finish,None,Single Sided,,14.89,1,FLY-563-655-515-563-EXPRESS
4169,25,0.0,Square 210mm x 210mm,350gsm Art Board Silk Finish,None,Single Sided,,18.86,1,FLY-463-599-525-650-EXPRESS
4086,25,0.0,Square 210mm x 210mm,170gsm Art Paper Gloss Finish,None,Single Sided,,16.87,1,FLY-506-554-607-507-EXPRESS
4052,25,0.0,A6,170gsm Art Paper Silk Finish,None,Single Sided,,15.88,1,FLY-515-565-509-421-EXPRESS
4018,25,0.2,Square 210mm x 210mm,120gsm Premium Smooth White Paper,None,Single Sided,,22.84,2,FLY-601-607-609-608-EXPRESS
3984,25,0.2,A3,130gsm Art Paper Silk Finish,None,Single Sided,,17.86,1,FLY-458-559-606-423-EXPRESS
3950,25,0.2,A7,350gsm Art Board Silk Finish,None,Single Sided,,14.89,1,FLY-473-615-513-661-EXPRESS
3881,25,0.0,Square 105mm x 105mm,170gsm Art Paper Gloss Finish,None,Single Sided,,15.88,1,FLY-513-562-602-563-EXPRESS
4570,25,0.0,A6,350gsm Art Board Silk Finish,None,Single Sided,,15.88,1,FLY-605-600-601-606-EXPRESS
4621,25,0.0,1/3 A4 (DL),130gsm Art Paper Gloss Finish,None,Double Sided,,16.72,1,FLY-693-514-565-564-EXPRESS
4695,25,0.0,A5,350gsm Recycled Uncoated,None,Double Sided,,25.08,1,FLY-558-611-509-468-EXPRESS
4705,25,0.0,A7,130gsm Art Paper Gloss Finish,None,Single Sided,,14.4,1,FLY-662-658-660-553-EXPRESS
5322,25,0.0,Square 148mm x 148mm,170gsm Art Paper Gloss Finish,None,Double Sided,,16.72,1,FLY-505-666-521-419-EXPRESS
5288,25,0.2,A3,170gsm Art Paper Silk Finish,None,Single Sided,,19.86,1,FLY-464-561-425-544-EXPRESS
5278,25,0.0,A6,350gsm Recycled Uncoated,None,Double Sided,,20.9,1,FLY-563-657-517-649-EXPRESS
5236,25,0.2,A5,100gsm Premium Smooth White Paper,None,Single Sided,,16.68,2,FLY-498-661-556-469-EXPRESS
5202,25,0.0,Square 210mm x 210mm,170gsm Art Paper Silk Finish,None,Single Sided,,16.87,1,FLY-470-519-612-518-EXPRESS
5168,25,0.0,Square 105mm x 105mm,130gsm Art Paper Silk Finish,None,Double Sided,,15.68,1,FLY-551-516-514-652-EXPRESS
5109,25,0.0,Square 105mm x 105mm,300gsm Art Board Coated,None,Single Sided,,16.87,1,FLY-698-715-508-600-EXPRESS
3777,25,0.0,Square 148mm x 148mm,130gsm Art Paper Gloss Finish,None,Single Sided,,15.88,1,FLY-614-656-453-557-EXPRESS
5075,25,0.0,A6,170gsm Art Paper Gloss Finish,None,Double Sided,,16.72,1,FLY-466-563-520-505-EXPRESS
5006,25,0.0,1/3 A4 (DL),130gsm Art Paper Gloss Finish,None,Single Sided,,15.88,1,FLY-657-602-552-650-EXPRESS
4996,25,0.0,A5,350gsm Recycled Uncoated,None,Single Sided,,23.83,1,FLY-565-606-600-651-EXPRESS
4962,25,0.0,A4,170gsm Art Paper Silk Finish,None,Double Sided,,17.77,1,FLY-529-515-554-610-EXPRESS
4928,25,0.0,Square 210mm x 210mm,300gsm Art Board Coated,None,Single Sided,,17.86,1,FLY-508-612-611-702-EXPRESS
4894,25,0.0,A5,170gsm Art Paper Gloss Finish,None,Double Sided,,16.72,1,FLY-481-569-514-568-EXPRESS
4801,25,0.0,A4,350gsm Art Board Silk Finish,None,Double Sided,,19.86,1,FLY-475-700-701-515-EXPRESS
4767,25,0.2,A4,100gsm Premium Smooth White Paper,None,Single Sided,,18.27,2,FLY-520-565-521-515-EXPRESS
5041,25,0.0,A4,130gsm Art Paper Silk Finish,None,Single Sided,,16.39,1,FLY-699-606-565-557-EXPRESS
370,25,0.0,Square 105mm x 105mm,170gsm Art Paper Silk Finish,None,Single Sided,,15.88,1,FLY-647-603-648-602-EXPRESS
3541,25,0.0,A5,170gsm Art Paper Gloss Finish,None,Single Sided,,15.88,1,FLY-515-526-479-512-EXPRESS
309,25,0.0,Square 210mm x 210mm,130gsm Art Paper Gloss Finish,None,Double Sided,,17.25,1,FLY-518-560-458-516-EXPRESS
241,25,0.0,A7,170gsm Art Paper Silk Finish,None,Double Sided,,15.68,1,FLY-463-599-607-559-EXPRESS
34,25,0.0,A5,130gsm Art Paper Silk Finish,None,Double Sided,,16.72,1,FLY-548-601-610-618-EXPRESS
144,25,0.0,A4,130gsm Art Paper Silk Finish,None,Double Sided,,17.25,1,FLY-611-505-479-573-EXPRESS
275,25,0.0,Square 148mm x 148mm,300gsm Art Board Coated,None,Single Sided,,16.87,1,FLY-510-623-603-607-EXPRESS
110,25,0.0,1/3 A4 (DL),300gsm Art Board Coated,None,Double Sided,,18.81,1,FLY-520-756-701-608-EXPRESS
178,25,0.0,Square 210mm x 210mm,130gsm Art Paper Silk Finish,None,Single Sided,,16.39,1,FLY-548-462-573-566-EXPRESS
68,25,0.2,Square 210mm x 210mm,120gsm Premium Smooth White Paper,None,Double Sided,,24.04,2,FLY-516-600-653-599-EXPRESS
5007,50,0.0,1/3 A4 (DL),130gsm Art Paper Gloss Finish,None,Single Sided,,16.87,1,FLY-657-602-552-650-EXPRESS
1548,50,0.0,A4,300gsm Art Board Coated,None,Double Sided,,19.86,1,FLY-515-606-707-604-EXPRESS
2229,50,0.0,A7,130gsm Art Paper Silk Finish,None,Double Sided,,15.41,1,FLY-609-553-609-462-EXPRESS
5237,50,0.2,A5,100gsm Premium Smooth White Paper,None,Single Sided,,17.47,2,FLY-498-661-556-469-EXPRESS
5702,50,0.0,A4,350gsm Recycled Uncoated,None,Single Sided,,29.79,1,FLY-569-562-466-614-EXPRESS
2432,50,0.2,A3,120gsm Premium Smooth White Paper,None,Double Sided,,34.48,2,FLY-462-603-607-656-EXPRESS
3474,50,0.2,Square 210mm x 210mm,350gsm Art Board Silk Finish,Both Sides (Matt),Double Sided,,26.12,3,FLY-508-607-462-512-EXPRESS
276,50,0.0,Square 148mm x 148mm,300gsm Art Board Coated,None,Single Sided,,17.86,1,FLY-510-623-603-607-EXPRESS
6962,50,0.0,A3,350gsm Recycled Uncoated,None,Double Sided,,52.01,1,FLY-513-549-508-562-EXPRESS
2926,50,0.0,Square 105mm x 105mm,130gsm Art Paper Gloss Finish,None,Double Sided,,16.72,1,FLY-427-575-563-517-EXPRESS
3497,50,0.0,Square 105mm x 105mm,130gsm Art Paper Gloss Finish,None,Single Sided,,15.88,1,FLY-512-620-573-470-EXPRESS
6409,50,0.2,Square 148mm x 148mm,100gsm Premium Smooth White Paper,None,Single Sided,,17.47,2,FLY-520-556-554-566-EXPRESS
5506,50,0.2,A3,350gsm Art Board Silk Finish,Both Sides (Gloss),Double Sided,,36.58,3,FLY-472-703-500-618-EXPRESS
642,50,0.2,1/3 A4 (DL),350gsm Art Board Silk Finish,Both Sides (Gloss),Double Sided,,20.9,3,FLY-514-518-652-564-EXPRESS
1191,50,0.0,Square 148mm x 148mm,350gsm Art Board Silk Finish,None,Double Sided,,19.86,1,FLY-608-511-549-465-EXPRESS
1506,50,0.2,A4,120gsm Premium Smooth White Paper,None,Double Sided,,26.12,2,FLY-535-606-521-515-EXPRESS
5203,50,0.0,Square 210mm x 210mm,170gsm Art Paper Silk Finish,None,Single Sided,,18.86,1,FLY-470-519-612-518-EXPRESS
2496,50,0.0,A6,170gsm Art Paper Gloss Finish,None,Single Sided,,16.39,1,FLY-474-708-604-652-EXPRESS
3915,50,0.2,1/3 A4 (DL),350gsm Art Board Silk Finish,Both Sides (Matt),Double Sided,,20.9,3,FLY-616-665-564-598-EXPRESS
4238,50,0.0,A5,300gsm Art Board Coated,None,Double Sided,,18.81,1,FLY-565-564-512-569-EXPRESS
6816,50,0.0,Square 148mm x 148mm,350gsm Art Board Silk Finish,None,Single Sided,,18.86,1,FLY-610-562-605-516-EXPRESS
3080,50,0.2,A7,120gsm Premium Smooth White Paper,None,Double Sided,,19.34,2,FLY-511-520-552-520-EXPRESS
626,50,0.0,Square 210mm x 210mm,350gsm Recycled Uncoated,None,Double Sided,,31.35,1,FLY-652-540-557-656-EXPRESS
4321,50,0.0,1/3 A4 (DL),130gsm Art Paper Silk Finish,None,Single Sided,,16.87,1,FLY-453-522-524-458-EXPRESS
1656,50,0.2,A3,170gsm Art Paper Gloss Finish,None,Double Sided,,24.04,1,FLY-419-553-522-705-EXPRESS
4696,50,0.0,A5,350gsm Recycled Uncoated,None,Double Sided,,27.17,1,FLY-558-611-509-468-EXPRESS
804,50,0.0,A3,350gsm Art Board Silk Finish,None,Single Sided,,27.8,1,FLY-514-561-525-612-EXPRESS
6320,50,0.2,1/3 A4 (DL),100gsm Premium Smooth White Paper,None,Single Sided,,15.88,2,FLY-569-513-607-564-EXPRESS
6991,50,0.2,1/3 A4 (DL),350gsm Art Board Silk Finish,Both Sides (Gloss),Single Sided,,19.86,3,FLY-746-575-564-657-EXPRESS
1157,50,0.0,Square 148mm x 148mm,130gsm Art Paper Silk Finish,None,Double Sided,,17.25,1,FLY-405-508-523-603-EXPRESS
2965,50,0.2,Square 105mm x 105mm,100gsm Premium Smooth White Paper,None,Single Sided,,15.88,2,FLY-704-461-567-565-EXPRESS
2529,50,0.2,Square 105mm x 105mm,350gsm Art Board Silk Finish,Both Sides (Matt),Double Sided,,19.86,3,FLY-644-466-557-549-EXPRESS
879,50,0.0,A4,350gsm Art Board Silk Finish,None,Single Sided,,21.84,1,FLY-601-547-654-469-EXPRESS
3429,50,0.2,A7,100gsm Premium Smooth White Paper,None,Single Sided,,14.7,2,FLY-665-709-560-606-EXPRESS
4019,50,0.2,Square 210mm x 210mm,120gsm Premium Smooth White Paper,None,Single Sided,,24.82,2,FLY-601-607-609-608-EXPRESS
6053,50,0.0,1/3 A4 (DL),170gsm Art Paper Silk Finish,None,Single Sided,,17.38,1,FLY-645-577-696-648-EXPRESS
5432,50,0.2,A6,350gsm Art Board Silk Finish,Both Sides (Gloss),Single Sided,,18.86,3,FLY-515-555-525-572-EXPRESS
6969,50,0.2,Square 105mm x 105mm,350gsm Art Board Silk Finish,Both Sides (Gloss),Double Sided,,19.86,3,FLY-568-506-602-564-EXPRESS
5856,50,0.0,1/3 A4 (DL),350gsm Art Board Silk Finish,None,Double Sided,,19.86,1,FLY-565-515-598-512-EXPRESS
4287,50,0.0,Square 148mm x 148mm,300gsm Art Board Coated,None,Double Sided,,18.81,1,FLY-615-560-513-413-EXPRESS
1595,50,0.2,Square 148mm x 148mm,100gsm Premium Smooth White Paper,None,Double Sided,,18.39,2,FLY-512-552-606-524-EXPRESS
2195,50,0.0,Square 148mm x 148mm,130gsm Art Paper Silk Finish,None,Single Sided,,16.39,1,FLY-561-556-555-699-EXPRESS
4706,50,0.0,A7,130gsm Art Paper Gloss Finish,None,Single Sided,,14.64,1,FLY-662-658-660-553-EXPRESS
35,50,0.0,A5,130gsm Art Paper Silk Finish,None,Double Sided,,17.25,1,FLY-548-601-610-618-EXPRESS
6375,50,0.0,A4,170gsm Art Paper Gloss Finish,None,Double Sided,,19.86,1,FLY-507-621-528-659-EXPRESS
69,50,0.2,Square 210mm x 210mm,120gsm Premium Smooth White Paper,None,Double Sided,,26.12,2,FLY-516-600-653-599-EXPRESS
3778,50,0.0,Square 148mm x 148mm,130gsm Art Paper Gloss Finish,None,Single Sided,,16.39,1,FLY-614-656-453-557-EXPRESS
5563,50,0.0,Square 148mm x 148mm,350gsm Recycled Uncoated,None,Single Sided,,25.81,1,FLY-608-603-467-564-EXPRESS
665,50,0.0,A6,300gsm Art Board Coated,None,Double Sided,,18.81,1,FLY-616-510-520-657-EXPRESS
